DocName,Author_original,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Wikidata ID,sex or gender,country of citizenship,ethnic group,field of work,occupation,position held,religion or worldview,"languages spoken, written or signed",movement,member of,Number of authors,Date,Title,Pages,Source
K024720.000,"Arbuthnot, John, 1667-1735.",John Arbuthnot,,,,,,Q435816,male,Great Britain,,,"mathematician, writer, composer, physician",,,English,,"Royal Society, Royal College of Physicians",1,1726,"It cannot rain but it pours: or, London strow'd with rarities. Being, an account of the arrival of a white bear, at the house of Mr. Ratcliff in Bishopsgate-Street: as also of the Faustina, ... and of the copper-farthing dean from Ireland. And lastly, of the wonderful wild man.",10,ECCO-TCP
K024732.000,"Churchill, Charles, 1731-1764.",Charles Churchill,,,,,,Q1063958,male,Great Britain,,,"poet, writer",,,English,,,1,1763,The ghost: Book IV. By C. Churchill.,88,ECCO-TCP
K024736.000,"Bentley, R. (Richard), 1708-1782.",Richard Bentley,,,,,,Q18194767,male,Great Britain,,,"translator, illustrator",,,English,,Middle Temple,1,1763,"Patriotism, a mock-heroic. In five cantos",65,ECCO-TCP
K024779.000,"Lennox, Charlotte, ca. 1729-1804.",Charlotte Lennox,,,,,,Q441757,female,"United Kingdom of Great Britain and Ireland, United States of America",,poetry,"poet, translator, novelist, writer, playwright, editor",,,"French, English",,,1,1758,Philander. A dramatic pastoral: By the author of the Female quixote.,47,ECCO-TCP
K024818.001,"Holcroft, Thomas, 1745-1809.",Thomas Holcroft,,,,,,Q1114941,male,"United Kingdom of Great Britain and Ireland, Great Britain",,,"playwright, writer, novelist",,,English,,,1,1780,Alwyn: or the gentleman comedian. In two volumes. ...,209,ECCO-TCP
K024818.002,"Holcroft, Thomas, 1745-1809.",Thomas Holcroft,,,,,,Q1114941,male,"United Kingdom of Great Britain and Ireland, Great Britain",,,"playwright, writer, novelist",,,English,,,1,1780,Alwyn: or the gentleman comedian. In two volumes. ...,247,ECCO-TCP
K024870.000,"Francis, Philip, 1708?-1773.",Philip Francis,,,,,,Q3379012,male,Republic of Ireland,,,"linguist, translator",,Anglicanism,English,,,1,1762,"A letter from the Cocoa Tree, to the country gentlemen",15,ECCO-TCP
K024902.000,"Nettleton, Thomas, 1683-1742.","Nettleton, Thomas, 1683-1742.",,,,,,,,,,,,,,,,,1,1722,"An account of the success of inoculating the smallpox: in a letter to Dr. William Whitaker. By Tho. Nettleton, M.D.",12,ECCO-TCP
K024903.000,N/A,N/A,,,,,,,,,,,,,,,,,1,1725,A new essay on the smallpox: With a view to preserve this nation from the infection of that distemper. ... By ***** **** M.D.,17,ECCO-TCP
K024904.000,"Warren, Martin, 1696-1735.","Warren, Martin, 1696-1735.",,,,,,,,,,,,,,,,,1,1733,"I have perused a pamphlet entitled, Some reasons why the practice of inoculation ought to be introduced into the town of Bury at present, and have been surprised to find this elaborate piece so little in substance,",30,ECCO-TCP
K024906.000,"Pope, Alexander, 1688-1744.",Alexander Pope,,,,,,Q164047,male,"Kingdom of England, Great Britain",English people,,"poet, literary historian, translator, writer, philosopher",,Catholic Church,"English, Latin, Greek",,,1,1793,Pastorals. By Alexander Pope,13,ECCO-TCP
K025215.000,N/A,N/A,,,,,,,,,,,,,,,,,1,1738,"A treatise of the gravel and stone, showing, I. Their nature, causes, difference, and symptoms. II. The method of curing them. III. How to ease and remove the fits when present. And, IV. To prevent them for the future. With their proper remedies prescribed; and easily to be prepared, by the patients themselves. Written, ... by a late learned and eminent physicain [sic]",70,ECCO-TCP
K025217.000,"Hartley, David, 1705-1757.",David Hartley,,,,,,Q379902,male,Great Britain,,,"psychologist, philosopher, physician",,Anglicanism,English,,Royal Society,1,1738,"Ten cases of persons who have taken Mrs. Stephens's medicines for the stone. With an abstract of some experiments, tending to illustrate these cases",40,ECCO-TCP
K025272.000,"Hayley, William, 1657-1715.","Hayley, William, 1657-1715.",,,,,,,,,,,,,,,,,1,1702,"A sermon preached in Lambeth-chapel, at the consecration of ... John Lord Bishop of Bangor, on Sunday, Jan. 4th 1701/2. By William Hayley,",28,ECCO-TCP
K025325.000,"Kelly, Hugh, 1739-1777.",Hugh Kelly,,,,,,Q3142272,male,Republic of Ireland,,,"poet, playwright, editor",,,English,,,1,1768,False delicacy: a comedy; as it is performed at the Theater Royal in Drury Lane. By His Majesty's servants. By Hugh Kelly.,95,ECCO-TCP
K025327.000,"Lennox, Charlotte, ca. 1729-1804.",Charlotte Lennox,,,,,,Q441757,female,"United Kingdom of Great Britain and Ireland, United States of America",,poetry,"poet, translator, novelist, writer, playwright, editor",,,"French, English",,,1,1769,The sister: a comedy. By Mrs. Charlotte Lennox.,79,ECCO-TCP
K025519.000,"Jephson, Robert, 1736-1803.",Robert Jephson,,,,,,Q3435536,male,Republic of Ireland,,,"writer, playwright, politician",Member of Parliament in the Parliament of Ireland,,,,,1,1774,"The speech delivered by Robert Jephson, Esquire; on the 11th of February, 1774, in the debate on the committing heads of a bill, for ""the better encouragement of persons professing the Popish religion to become Protestants, and for the further improvement of the kingdom."" John Foster, Esquire; in the chair",39,ECCO-TCP
K025532.001,"Cumberland, Richard, 1732-1811.",Richard Cumberland,,,,,,Q1439360,male,United Kingdom of Great Britain and Ireland,,,"writer, playwright, novelist, essayist",,,English,,,1,1789,Arundel: By the author of The observer. ...,297,ECCO-TCP
K025532.002,"Cumberland, Richard, 1732-1811.",Richard Cumberland,,,,,,Q1439360,male,United Kingdom of Great Britain and Ireland,,,"writer, playwright, novelist, essayist",,,English,,,1,1789,Arundel: By the author of The observer. ...,301,ECCO-TCP
K025595.000,"Buchan, William, 1729-1805.",William Buchan,,,,,,Q3568460,male,"Great Britain, United Kingdom of Great Britain and Ireland",,,physician writer,,,English,,,1,1790,"A letter to the patentee, concerning the medical properties of the fleecy hosiery: By William Buchan,...",19,ECCO-TCP
K025607.000,"Chetwood, W. R. (William Rufus), d. 1766.",William Rufus Chetwood,,,,,,Q8017825,male,,,,novelist,,,English,,,1,1748,"Kilkenny: or, the old man's wish. By W. R. Chetwood",19,ECCO-TCP
K025649.000,"Marat, Jean Paul, 1743-1793.",Jean-Paul Marat,,,,,,Q122290,male,France,,,"politician, journalist, physician",member of the French National Assembly,,French,,,1,1775,"An essay on gleets: wherein the defects of the actual method of treating those complaints of the urethra are pointed out, and an effectual way of curing them indicated. By J. P. Marat, M.D.",15,ECCO-TCP
K025723.000,"Berkeley, George, 1733-1795.",George Berkeley,,,,,,Q42522880,male,,,,,,,,,,1,1791,"An inquiry into the origin of episcopacy, in a discourse preached in June, 1790. By a dignitary of the Church of England",46,ECCO-TCP
K025748.000,"Gilpin, William, 1724-1804.",William Gilpin,,,,,,Q1336319,male,United Kingdom of Great Britain and Ireland,,,"painter, writer, biographer, art historian",,Anglicanism,English,,,1,1797,"The Lord's cup: or, the dispensations of providence with regard to good and evil, considered in a sermon; by William Gilpin,...",13,ECCO-TCP
K026235.000,"Macpherson, James, 1736-1796.",James Macpherson,,,,,,Q312562,male,"Great Britain, United Kingdom",Scottish people,,"poet, writer, politician","Member of the 15th Parliament of Great Britain, Member of the 16th Parliament of Great Britain, Member of the 17th Parliament of Great Britain",,"English, Scottish Gaelic",,,1,1779,A short history of the opposition during the last session of Parliament,61,ECCO-TCP
K026247.000,"Boswell, James, 1740-1795.",James Boswell,,,,,,Q335060,male,"Great Britain, United Kingdom",,,"diarist, writer, lawyer, biographer",,,"English, French",,,1,1790,"A conversation between His most sacred Majesty George III. and Samuel Johnson, LL.D. Illustrated with observations, by James Boswell, Esquire",8,ECCO-TCP
K026311.000,"Gilpin, William, 1724-1804.",William Gilpin,,,,,,Q1336319,male,United Kingdom of Great Britain and Ireland,,,"painter, writer, biographer, art historian",,Anglicanism,English,,,1,1798,"An explanation of the duties of religion, for the use of Boldre School, in New Forest. N.B. The small paper prefixed, which is the groundwork of this explanation, is distributed in little books among the children of the parish,",39,ECCO-TCP
K026709.000,"More, Hannah, 1745-1833.",Hannah More,,,,,,Q25880,female,"United Kingdom of Great Britain and Ireland, Great Britain",,"poetry, essay","writer, poet, essayist, philanthropist, abolitionist, playwright, tragedy writer",,Anglicanism,English,,Blue Stockings Society,1,1778,Percy: a tragedy. As it is acted at the Theater Royal in Covent Garden.,100,ECCO-TCP
K026892.000,"Mason, William, 1719-1791.","Mason, William, 1719-1791.",,,,,,,,,,,,,,,,,1,1758,"Remarks and observations on the morality and divinity contained in Dr. Free's certain articles: proposed to the Court of Assistants, of the Worshipful Company of Salters. In a letter to the Reverend Dr. Free.",19,ECCO-TCP
K027127.000,"Gerard, Alexander, 1728-1795.",Alexander Gerard,,,,,,Q3610758,male,Scotland,,"ethics, theology, aesthetics",philosopher,Moderator of the General Assembly of the Church of Scotland,Presbyterianism,English,,,1,1761,"The influence of piety on the public good. A sermon, preached in the High Church of Edinburgh, May 31. 1761, ... By Alexander Gerard,",30,ECCO-TCP
K027143.000,"Gilpin, William, 1724-1804.",William Gilpin,,,,,,Q1336319,male,United Kingdom of Great Britain and Ireland,,,"painter, writer, biographer, art historian",,Anglicanism,English,,,1,1788,"Two sermons: The first, on comparing spiritual things with spiritual, preached at the primary visitation of the Lord Bishop of Winchester, at Southampton, July 15, 1788; ... the second, on the simplicity of the Gospel, preached ... September 13, 1780; ... By William Gilpin, ...",55,ECCO-TCP
K027268.000,"Akenside, Mark, 1721-1770.",Mark Akenside,,,,,,Q1247855,male,Great Britain,,,"poet, physician, physician writer, writer",,,English,,Royal Society,1,1745,Odes on several subjects,43,ECCO-TCP
K027367.000,"Congreve, William, 1670-1729.",William Congreve,,,,,,Q366805,male,Great Britain,,,"playwright, poet, writer, translator, engineer, librettist",,,"French, English",,,1,1703,"The mourning bride. A tragedy: As it is acted at the Theater in Lincoln's-Inn-Fields, by His Majesty's servants. Written by Mr. Congreve.",78,ECCO-TCP
K027505.000,"Congreve, William, 1670-1729.",William Congreve,,,,,,Q366805,male,Great Britain,,,"playwright, poet, writer, translator, engineer, librettist",,,"French, English",,,1,1703,The tears of Amaryllis for Amyntas. A pastoral: Lamenting the death of the late Lord Marquis of Blanford. ... By Mr. Congreve.,10,ECCO-TCP
K027590.000,"Kenrick, W. (William), 1725?-1779.",William Kenrick,,,,,,Q8013950,male,Great Britain,,,"writer, playwright, translator",,,English,,,1,1773,"A whipping for the Welsh parson: Being a comment on the Rev. Mr. Evan Lloyd's Epistle to David Garrick, Esquire. By Scriblerius Flagellarius. To which is superadded the parson's text.",47,ECCO-TCP
K027591.000,"Macklin, Charles, 1697?-1797.",Charles Macklin,,,,,,Q2411008,male,Republic of Ireland,,,"actor, playwright, stage actor",,,English,,,1,1791,"Proposals for publishing by subscription The man of the world, a comedy, in five acts; and, Love a la mode, a comedy, in two acts, written by Mr. Charles Macklin.; Man of the world.",4,ECCO-TCP
K027597.000,"Webster, Charles, 1750-1795.",Charles Webster,,,,,,Q99334501,male,,,,,,,,,,1,1793,"Facts, tending to show the connection of the stomach with life, disease, and recovery",62,ECCO-TCP
K027621.001,"Stern, Laurence, 1713-1768.",Laurence Sterne,,,,,,Q218960,male,Great Britain,Irish people,,"writer, novelist, autobiographer, religious servant",vicar,Anglicanism,English,,,1,1760,The sermons of Mr. Yorick.,209,ECCO-TCP
K027621.002,"Stern, Laurence, 1713-1768.",Laurence Sterne,,,,,,Q218960,male,Great Britain,Irish people,,"writer, novelist, autobiographer, religious servant",vicar,Anglicanism,English,,,1,1760,The sermons of Mr. Yorick.,229,ECCO-TCP
K027631.000,"Stern, Laurence, 1713-1768.",Laurence Sterne,,,,,,Q218960,male,Great Britain,Irish people,,"writer, novelist, autobiographer, religious servant",vicar,Anglicanism,English,,,1,1782,"The beauties of Stern: including all his pathetic tales, and most distinguished observations on life. Selected for the heart of sensibility.",247,ECCO-TCP
K027657.000,"Stern, Laurence, 1713-1768.",Laurence Sterne,,,,,,Q218960,male,Great Britain,Irish people,,"writer, novelist, autobiographer, religious servant",vicar,Anglicanism,English,,,1,1773,Letters from Yorick to Eliza,88,ECCO-TCP
K027659.000,"Stern, Laurence, 1713-1768.",Laurence Sterne,,,,,,Q218960,male,Great Britain,Irish people,,"writer, novelist, autobiographer, religious servant",vicar,Anglicanism,English,,,1,1750,"The abuses of conscience: set forth in a sermon, preached in the Cathedral church of St. Peter's, York, ... on Sunday, July 29, 1750. By Laurence Stern, A.M. ...",32,ECCO-TCP
K027660.001,"Stern, Laurence, 1713-1768.",Laurence Sterne,,,,,,Q218960,male,Great Britain,Irish people,,"writer, novelist, autobiographer, religious servant",vicar,Anglicanism,English,,,1,1768,A sentimental journey through France and Italy: By Mr. Yorick. ...,242,ECCO-TCP
K027660.002,"Stern, Laurence, 1713-1768.",Laurence Sterne,,,,,,Q218960,male,Great Britain,Irish people,,"writer, novelist, autobiographer, religious servant",vicar,Anglicanism,English,,,1,1768,A sentimental journey through France and Italy: By Mr. Yorick. ...,218,ECCO-TCP
K027670.001,"Stern, Laurence, 1713-1768.",Laurence Sterne,,,,,,Q218960,male,Great Britain,Irish people,,"writer, novelist, autobiographer, religious servant",vicar,Anglicanism,English,,,1,1775,"Letters of the late Rev. Mr. Laurence Stern, to his most intimate friends. With a fragment in the manner of Rabelais. To which are prefixed, memoirs of his life and family. Written by himself. And published by his daughter, Mrs. Medalle. In three volumes.",193,ECCO-TCP
K027670.002,"Stern, Laurence, 1713-1768.",Laurence Sterne,,,,,,Q218960,male,Great Britain,Irish people,,"writer, novelist, autobiographer, religious servant",vicar,Anglicanism,English,,,1,1775,"Letters of the late Rev. Mr. Laurence Stern, to his most intimate friends. With a fragment in the manner of Rabelais. To which are prefixed, memoirs of his life and family. Written by himself. And published by his daughter, Mrs. Medalle. In three volumes.",193,ECCO-TCP
K027670.003,"Stern, Laurence, 1713-1768.",Laurence Sterne,,,,,,Q218960,male,Great Britain,Irish people,,"writer, novelist, autobiographer, religious servant",vicar,Anglicanism,English,,,1,1775,"Letters of the late Rev. Mr. Laurence Stern, to his most intimate friends. With a fragment in the manner of Rabelais. To which are prefixed, memoirs of his life and family. Written by himself. And published by his daughter, Mrs. Medalle. In three volumes.",179,ECCO-TCP
K027697.001,"Stern, Laurence, 1713-1768.",Laurence Sterne,,,,,,Q218960,male,Great Britain,Irish people,,"writer, novelist, autobiographer, religious servant",vicar,Anglicanism,English,,,1,1760,"The life and opinions of Tristram Shandy, gentleman: ...; Life and opinions of Tristram Shandy, gentleman",181,ECCO-TCP
K027697.002,"Stern, Laurence, 1713-1768.",Laurence Sterne,,,,,,Q218960,male,Great Britain,Irish people,,"writer, novelist, autobiographer, religious servant",vicar,Anglicanism,English,,,1,1760,"The life and opinions of Tristram Shandy, gentleman: ...; Life and opinions of Tristram Shandy, gentleman",183,ECCO-TCP
K027714.000,"Stern, Laurence, 1713-1768.; Comb, William, 1742-1823.",Laurence Sterne,"Comb, William, 1742-1823.",,,,,Q218960,male,Great Britain,Irish people,,"writer, novelist, autobiographer, religious servant",vicar,Anglicanism,English,,,2,1788,Original letters of the late Reverend Mr. Laurence Stern; never before published,218,ECCO-TCP
K027775.000,"Cowper, William, 1731-1800.",William Cowper,,,,,,Q315537,male,Great Britain,English people,,"poet, translator, writer, poet lawyer, hymnwriter",,Anglicanism,English,Romanticism,,1,1782,"Poems: by William Cowper, of the Inner Temple, Esquire.",371,ECCO-TCP
K027776.000,"Cowper, William, 1731-1800.",William Cowper,,,,,,Q315537,male,Great Britain,English people,,"poet, translator, writer, poet lawyer, hymnwriter",,Anglicanism,English,Romanticism,,1,1785,"The task: a poem, in six books. By William Cowper, ... To which are added, by the same author, An epistle to Joseph Hill, Esquire. ... To which are added, ... an epistle ... and the history of John Gilpin.",354,ECCO-TCP
K027796.001,"Homer.; Pope, Alexander, 1688-1744.",Homer,"Pope, Alexander, 1688-1744.",,,,,Q6691,male,Ionian League,Greeks,,"poet, author, writer",,,Ancient Greek,,,2,1725,The Odyssey of Homer; Odyssey. English,306,ECCO-TCP
K027844.000,"Berkeley, George, 1685-1753.",George Berkeley,,,,,,Q82049,male,Kingdom of Ireland,,"philosophy, theology, education, epistemology, metaphysics, philosophy of science, calculus, Immaterialism","philosopher, Anglican priest, writer, epistemologist, philosopher of science, metaphysician, Christian minister","Bishop of Cloyne, Dean of Derry, Dean of Dromore","Anglicanism, Episcopal Church","Latin, French, English","empiricism, Immaterialism",,1,1724,"A proposal for the better supplying of churches in our foreign plantations, and for converting the savage Americans to Christianity",21,ECCO-TCP
K028072.000,"Tickell, Richard, 1751-1793.",Richard Tickell,,,,,,Q15458652,male,,,,writer,,,English,,,1,1781,"Songs, duos, trios, chorusses, &c, in the comic opera of The carnival of Venice, as it is performed at the Theater Royal, Drury Lane",25,ECCO-TCP
K028112.000,"Wesley, John, 1703-1791.",John Wesley,,,,,,Q213393,male,Great Britain,,,"Methodist pastor, cleric, diarist, philosopher, translator, hymnwriter, missionary, priest, writer",,"Methodism, Anglicanism","German, English, Latin, Greek",,,1,1760,"The desideratum: or, electricity made plain and useful. By a lover of mankind, and of common sense",70,ECCO-TCP
K028419.000,"Waldron, F. G. (Francis Godolphin), 1744-1818.",Francis Godolphin Waldron,,,,,,Q5481098,male,,,,stage actor,,,,,,1,1789,"The King in the country. A dramatic piece, in two acts. Acted at the Theatres-Royal, at Richmond and Windsor, 1788",30,ECCO-TCP
K028494.000,"Boswell, James, 1740-1795.",James Boswell,,,,,,Q335060,male,"Great Britain, United Kingdom",,,"diarist, writer, lawyer, biographer",,,"English, French",,,1,1783,"A letter to the people of Scotland, on the present state of the nation. By James Boswell, Esquire",43,ECCO-TCP
K028664.000,"Brand, John, d. 1808.",John Brand,,,,,,Q6222943,male,United Kingdom,,,writer,,Anglicanism,English,,Society of Antiquaries of London,1,1796,"An historical essay on the principles of political associations in a state: ... in a comparative view of the associations of the year 1792, and that recently instituted by the Whig club. By the Rev. John Brand, M.A.",148,ECCO-TCP
K028766.000,"Addison, Joseph, 1672-1719.",Joseph Addison,,,,,,Q206384,male,England,,,"politician, writer, playwright, poet, journalist, editor, librettist","Member of Parliament in the Parliament of Ireland, Member of the Privy Council of Ireland, Member of the 2nd Parliament of Great Britain, Member of the 3rd Parliament of Great Britain, Member of the 4th Parliament of Great Britain, Member of the 5th Parliament of Great Britain",Anglicanism,"Latin, English",,,1,1713,The late trial and conviction of Count Tariff,19,ECCO-TCP
K029169.000,Apothecary.,Apothecary.,,,,,,,,,,,,,,,,,1,1704,"Reasons: why the apothecary may be supposed to understand the administration of medicines in the cure of diseases, as well as the physician. In a letter from an apothecary to a physician",22,ECCO-TCP
K029185.000,"Armstrong, John, 1709-1779.","Armstrong, John, 1709-1779.",,,,,,,,,,,,,,,,,1,1735,"An essay for abridging the study of physic. To which is added, A dialogue, ... relating to the practice of physic,",46,ECCO-TCP
K029243.000,N/A,N/A,,,,,,,,,,,,,,,,,1,1719,"An account of the virtues, use, dose, and wonderful manner of operation of the pilulae polychrestae.",14,ECCO-TCP
K029251.000,Physician.,Physician.,,,,,,,,,,,,,,,,,1,1716,"A rational account of the natural weaknesses of women: and of the secret distempers peculiarly incident to them. Plainly discovering their nature, true cause, and best method of cure, ... By a physician.",96,ECCO-TCP
K029293.000,"Reynolds, Frederick, 1764-1841.",Frederick Reynolds,,,,,,Q5497124,male,United Kingdom,,,"cricketer, playwright, writer",,,English,,,1,1799,"Management: a comedy, in five acts. As performed at the Theater Royal, Covent Garden. By Frederick Reynolds.",87,ECCO-TCP
K029296.000,"Reynolds, Frederick, 1764-1841.",Frederick Reynolds,,,,,,Q5497124,male,United Kingdom,,,"cricketer, playwright, writer",,,English,,,1,1795,"The rage: a comedy: As it is performed at the Theater Royal, Covent Garden. By Frederick Reynolds.",97,ECCO-TCP
K029305.000,"Foot, Samuel, 1720-1777.",Samuel Foote,,,,,,,,,,,,,,,,,1,1778,"The devil upon two sticks: a comedy, in three acts. As it is performed at the Theater Royal in the Haymarket. Written by the late Samuel Foot, Esquire. and now published by Mr. Colman.",74,ECCO-TCP
K029412.000,"Newton, Isaac, Sir, 1642-1727.",Isaac Newton,,,,,,Q935,male,"Kingdom of England, Great Britain",English people,"physics, mechanics, mathematics, astronomy","mathematician, philosopher","Member of Parliament in the Parliament of England, Warden of the Mint, Master of the Mint, Member of Parliament in the Parliament of England, President of the Royal Society, Member of the 1689-90 Parliament, Member of the 1701-02 Parliament, Lucasian Professor of Mathematics",nontrinitarianism,"Latin, English",,Royal Society,1,1702,"A new and most accurate theory of the moon's motion: whereby all her irregularities may be solved, ... Written by ... Mr. Isaac Newton, and published in Latin by Mr. David Gregory in his excellent Astronomy.; Theory of the Moon's motion. Latin.",26,ECCO-TCP
K029453.000,"Jurin, James, 1684-1750.",James Jurin,,,,,,Q1959556,male,Great Britain,,,"epidemiologist, statistician, physicist, mathematician",,,English,,"Royal Society, Royal College of Physicians",1,1724,"An account of the success of inoculating the small pox in Great Britain: With a comparison between the miscarriages in that practice, and the mortality of the natural smallpox. ... By James Jurin, ...",45,ECCO-TCP
K029505.000,"Holwell, J. Z. (John Zephaniah), 1711-1798.","Holwell, J. Z. (John Zephaniah), 1711-1798.",,,,,,,,,,,,,,,,,1,1767,"An account of the manner of inoculating for the small pox in the East Indies: With some observations on the practice and mode of treating that disease in those parts. ... By J. Z. Holwell, F.R.S.",42,ECCO-TCP
K029525.000,"Levison, Gumperz, d. 1797.","Levison, Gumperz, d. 1797.",,,,,,,,,,,,,,,,,1,1778,"An account of the epidemical sore-throat, with the method of treatment: Illustrated by cases and observations. By G. Levison, ...",58,ECCO-TCP
K029542.000,"Cradock, Joseph, 1742-1826.",Joseph Cradock,,,,,,Q18527996,male,"Great Britain, United Kingdom of Great Britain and Ireland",,,"writer, stage actor",,,,,Society of Antiquaries of London,1,1777,An account of some of the most romantic parts of North Wales,154,ECCO-TCP
K029554.000,"Whiston, William, 1667-1752.",William Whiston,,,,,,Q452091,male,Great Britain,,mathematician,"mathematician, physicist, historian, university teacher, philosopher, theologian",,,English,,,1,1718,"An account of Mr. Whiston's prosecution at, and banishment from, the University of Cambridge: First printed at the end of the Historical preface, ... With an appendix: containing Mr. Whiston's farther account; ...; Historical preface to Primitive Christianity revived.",47,ECCO-TCP
K029564.000,"Whiston, William, 1667-1752.",William Whiston,,,,,,Q452091,male,Great Britain,,mathematician,"mathematician, physicist, historian, university teacher, philosopher, theologian",,,English,,,1,1719,"An account of a surprising meteor: seen in the air March 19. 1718/19. at night. Containing, I. A description of this meteor, from the original letters of those who saw it in different places. ... By William Whiston, M.A. ...",38,ECCO-TCP
K029625.000,"Jerningham, Mr. (Edward), 1737?-1812.",Edward Jerningham,,,,,,Q18528200,male,"Great Britain, United Kingdom of Great Britain and Ireland",,,"playwright, poet",,,,,Accademia della Crusca,1,1792,Abelard to Eloisa: a poem. By Mr. Jerningham.,23,ECCO-TCP
K029653.000,"Lloyd, Robert, 1733-1764.",Robert Lloyd,,,,,,Q7346962,male,Great Britain,,,poet,,,English,,,1,1760,"The actor: A poetical epistle to Bonnell Thornton, Esquire.",22,ECCO-TCP
K029698.000,"Duck, Stephen, 1705-1756.",Stephen Duck,,,,,,Q7609103,male,,,,poet,,,,,,1,1755,"Caesar's camp: or, St. George's Hill. A poem. By the Reverend Mr. Duck, ...",24,ECCO-TCP
K029715.000,"Cumberland, Richard, 1732-1811.",Richard Cumberland,,,,,,Q1439360,male,United Kingdom of Great Britain and Ireland,,,"writer, playwright, novelist, essayist",,,English,,,1,1792,"Calvary: or the death of Christ. A poem, in eight books. By Richard Cumberland.",293,ECCO-TCP
K029722.000,"Sheridan, Richard Brinsley, 1751-1816.",Richard Brinsley Sheridan,,,,,,Q352725,male,Kingdom of Ireland,,,"poet, politician, librettist, dramaturge, playwright, writer","Member of the 4th Parliament of the United Kingdom, Treasurer of the Navy, Member of the 1st Parliament of the United Kingdom, Member of the 2nd Parliament of the United Kingdom, Member of the 3rd Parliament of the United Kingdom, Member of the 17th Parliament of Great Britain, Member of the 18th Parliament of Great Britain, Member of the 15th Parliament of Great Britain, Member of the 16th Parliament of Great Britain",,English,,,1,1795,"The camp: a musical entertainment, as performed at the Theater Royal, Drury Lane. By R. B. Sheridan, Esquire.",31,ECCO-TCP
K029768.000,"Hoare, Prince, 1755-1834.",Prince Hoare,,,,,,Q7244079,male,"Great Britain, United Kingdom of Great Britain and Ireland",,,painter,,,English,,,1,1799,"The captive of Spilburg in two acts: as performed at the Theater Royal, Drury Lane, altered from the favorite French drama called Le souterrain, with a preface by the translator. The music by Dussek.",54,ECCO-TCP
K029769.000,"Delap, J. (John), 1725-1812.",John Delap,,,,,,Q15989957,male,,,,poet,,Anglicanism,,,,1,1786,"The captives a tragedy: as performed at the Theater Royal, Drury Lane by the author of The royal suppliants.",85,ECCO-TCP
K029857.000,"Richardson, Samuel, 1689-1761.",Samuel Richardson,,,,,,Q295941,male,"Great Britain, Kingdom of England",,,"writer, novelist",,Anglicanism,English,,,1,1753,"The case of Samuel Richardson, of London, printer: with regard to the invasion of his property in The history of Sir Charles Grandison, before publication, by certain booksellers in Dublin.",4,ECCO-TCP
K029870.000,"Barbers' Company (London, England)","Barbers' Company (London, England)",,,,,,,,,,,,,,,,,1,1745,The case of the barbers of London,4,ECCO-TCP
K029946.000,"Thomson, James, 1700-1748.",James Thomson,,,,,,Q555029,male,Great Britain,Scottish people,,"writer, poet",,,English,,,1,1748,The castle of indolence: an allegorical poem. Written in imitation of Spenser. By James Thomson.,85,ECCO-TCP
K029984.000,"Pratt, Mr. (Samuel Jackson), 1749-1814.",Samuel Jackson Pratt,,,,,,Q6118146,male,,,,"novelist, poet, bookseller, writer",,,English,,,1,1783,Address to a locket. The words from Emma Corbet; Emma Corbett.,1,ECCO-TCP
K029992.000,"Kenrick, W. (William), 1725?-1779.",William Kenrick,,,,,,Q8013950,male,Great Britain,,,"writer, playwright, translator",,,English,,,1,1774,"An address to the artists and manufacturers of Great Britain; respecting an application to Parliament for the farther encouragement of new discoveries and inventions in the useful arts; ... By W. Kenrick, LL.D",57,ECCO-TCP
K030050.000,"Richardson, Samuel, 1689-1761.",Samuel Richardson,,,,,,Q295941,male,"Great Britain, Kingdom of England",,,"writer, novelist",,Anglicanism,English,,,1,1754,"An address to the public, on the treatment which the editor of the History of Sir Charles Grandison has met with from certain booksellers and printers in Dublin. Including observations on Mr. Faulkner's defense of himself, published in his Irish news-paper of Nov. 3. 1753",27,ECCO-TCP
K030147.000,"Hoare, Prince, 1755-1834.",Prince Hoare,,,,,,Q7244079,male,"Great Britain, United Kingdom of Great Britain and Ireland",,,painter,,,English,,,1,1796,"Lock and key: a musical entertainment, in two acts, as performed at the Theater Royal, Covent Garden. By Prince Hoare, Esquire. ... Correctly taken from the prompt-book.",46,ECCO-TCP
K030155.000,"Inchbald, Mrs., 1753-1821.",Elizabeth Inchbald,,,,,,Q469974,female,United Kingdom of Great Britain and Ireland,,,"actor, novelist, playwright, writer, stage actor",,,English,,,1,1796,Nature and art: By Mrs. Inchbald.,288,ECCO-TCP
K030158.000,"Inchbald, Mrs., 1753-1821.",Elizabeth Inchbald,,,,,,Q469974,female,United Kingdom of Great Britain and Ireland,,,"actor, novelist, playwright, writer, stage actor",,,English,,,1,1791,"Next door neighbors; a comedy: in three acts. From the French dramas L'indigent & Le dissipateur. As performed at the Theater Royal, Hay-Market. By Mrs. Inchbald.",68,ECCO-TCP
K030162.000,"Inchbald, Mrs., 1753-1821.",Elizabeth Inchbald,,,,,,Q469974,female,United Kingdom of Great Britain and Ireland,,,"actor, novelist, playwright, writer, stage actor",,,English,,,1,1797,"Wives as they were: and maids as they are, a comedy, in five acts. Performed at the Theater Royal, Covent Garden. By Mrs. Inchbald.",69,ECCO-TCP
